GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-J2S48_RS20875	4315.81681438768	-5.2483813117447	0.279240129568536	-18.7952258862441	8.26276293958212e-79	2.89444585773562e-75
gene-J2S48_RS20100	16788.1202286816	-7.60868107711716	0.429964439565021	-17.6960705978722	4.49603992278855e-70	7.87481392476414e-67
gene-J2S48_RS06520	1608.58286999565	-4.94558536349646	0.303293923022784	-16.3062461463329	8.91030187171736e-60	1.0404262485542e-56
rna-J2S48_RS07170	905.14490994612	-7.33191404298285	0.456139220499115	-16.0738513889688	3.8913934475796e-58	3.40788781171783e-55
rna-J2S48_RS12480	1516.02432856795	-7.85929769358772	0.49012994098156	-16.0351307611371	7.26305649380248e-58	5.08849737955801e-55
MSTRG.97.1	30902.4723753917	-7.55012906056361	0.512154032803415	-14.7419107865576	3.46830921303784e-49	2.02491452887859e-46
rna-J2S48_RS12475	621.267723961369	-5.37383034442868	0.375084454410815	-14.3269876456755	1.48420098155689e-46	7.42736576913399e-44
gene-J2S48_RS16660	7572.99540398537	4.86020816142667	0.339820828240018	14.3022668345505	2.11796615504402e-46	9.27404430139898e-44
MSTRG.767.1	8955.62601054122	-4.63366681400446	0.336740381451914	-13.7603538786338	4.41361174000743e-43	1.71787576947178e-40
gene-J2S48_RS02325	885.950671232426	-10.3021288401409	0.767334183085372	-13.4258698064475	4.26546495380228e-41	1.49419237331694e-38
MSTRG.3499.1	4049.1759110769	-3.43417533968519	0.275959920217331	-12.444471418098	1.49873261032786e-35	4.77278212179863e-33
gene-J2S48_RS13825	2713.92351101304	3.63714596491542	0.294614197602405	12.3454537986113	5.15427944282715e-35	1.50462007401863e-32
MSTRG.1235.1	7313.10096313686	-3.61387530426847	0.297386463762923	-12.1521176806133	5.58986763330362e-34	1.50625433226635e-31
gene-J2S48_RS00300	1287.44130367662	-3.94060721829883	0.324971280160115	-12.1260168478804	7.68997309376724e-34	1.92414112481905e-31
gene-J2S48_RS21085	1023.71707547629	-4.09597536454663	0.344548978691871	-11.8879335533008	1.36748141159455e-32	3.19352492321047e-30
gene-J2S48_RS02320	382.006073064233	-5.13373323429048	0.435573661718179	-11.7861424725264	4.6013806097964e-32	1.0074147672573e-29
